Código da Infração;Desdob;Descrição da Infração; Infrator; Pontos; Gravidade; Órgão Competente
637-8;0;Deixar de reduzir a velocidade de forma compatível com a segurança, em declive;Condutor;5;Grave;MUNICIPAL/RODOV
638-6;0;Deixar de reduzir veloc de forma compatível c/ segurança ao ultrapassar ciclista;Condutor;5;Grave;MUNICIPAL/RODOV
639-4;1;Deixar de reduzir a velocidade nas proximidades de escolas;Condutor;7;Gravíss;MUNICIPAL/RODOV
639-4;2;Deixar de reduzir a velocidade nas proximidades de hospitais;Condutor;7;Gravíss;MUNICIPAL/RODOV
639-4;3;Deixar de reduzir veloc na proxim estação embarque/desembarque passageiros;Condutor;7;Gravíss;MUNICIPAL/RODOV
639-4;4;Deixar de reduzir veloc onde haja intensa movimentação de pedestres;Condutor;7;Gravíss;MUNICIPAL/RODOV
640-8;0;Portar no veículo placas de identificação em desacordo c/ especif/modelo Contran;Proprietário;4;Média;ESTADUAL/RODOV
641-6;0;Confec/distribuir/colocar veíc próprio/terceiro placa identif desacordo Contran;;PF ou JUR;4;Média;ESTADUAL/RODOV
642-4;0;Deixar de manter ligado em emerg sist ilum vermelha intermitente ainda q parado;Condutor;4;Média;MUNICIPAL/RODOV
643-2;1;Transitar com farol desregulado perturbando visão outro condutor;Condutor;5;Grave;ESTADUAL/RODOV
643-2;2;Transitar com o facho de luz alta perturbando visão outro condutor;Condutor;5;Grave;ESTADUAL/RODOV
644-0;0;Fazer uso do facho de luz alta dos faróis em vias providas de iluminação pública;Condutor;3;Leve;MUNICIPAL/RODOV
645-9;1;Deixar de sinalizar via p/ tornar visível local qdo tiver remover veíc da pista;Condutor;5;Grave;MUNICIPAL/RODOV
645-9;2;Deixar de sinalizar a via p/ tornar visível o local qdo permanecer acostamento;Condutor;5;Grave;MUNICIPAL/RODOV
646-7;0;Deixar de sinalizar a via p/ tornar visível o local qdo a carga for derramada;Condutor;5;Grave;MUNICIPAL/RODOV
647-5;0;Deixar de retirar qualquer objeto utilizado para sinalização temporária da via;Condutor;4;Média;MUNICIPAL/RODOV
648-3;0;Usar buzina que não a de toque breve como advertência a pedestre ou condutores;Condutor;3;Leve;MUNICIPAL/RODOV
649-1;0;Usar buzina prolongada e sucessivamente a qualquer pretexto;Condutor;3;Leve;MUNICIPAL/RODOV
650-5;0;Usar buzina entre as vinte e duas e as seis horas;Condutor;3;Leve;MUNICIPAL/RODOV
651-3;0;Usar buzina em locais e horários proibidos pela sinalização;Condutor;3;Leve;MUNICIPAL/RODOV
652-1;0;Usar buzina em desacordo c/ os padrões e freqüências estabelecidas pelo Contran;Proprietário;3;Leve;MUNICIPAL/RODOV
653-0;0;Usar no veículo equip c/ som em volume/freqüência não autorizados pelo Contran;Proprietário;5;Grave;MUNICIPAL/RODOV
654-8;1;Usar no veíc alarme q perturbe o sossego público, em desacordo normas do Contran;Proprietário;4;Média;ESTADUAL/RODOV
654-8;2;Usar no veíc aparelho produza som/ruído perturbe sossego públic desac c/ Contran;Proprietário;4;Média;ESTADUAL/RODOV
655-6;1;Conduzir o veículo com o lacre de identificação violado/falsificado;Proprietário;7;Gravíss;ESTADUAL/RODOV
655-6;2;Conduzir o veículo com a inscrição do chassi violada/falsificada;Proprietário;7;Gravíss;ESTADUAL/RODOV
655-6;3;Conduzir o veículo com o selo violado/falsificado;Proprietário;7;Gravíss;ESTADUAL/RODOV
655-6;4;Conduzir o veículo com a placa violada/falsificada;Proprietário;7;Gravíss;ESTADUAL/RODOV
655-6;5;Conduzir o veículo com qualquer outro elem de identificação violado/falsificado;Proprietário;7;Gravíss;ESTADUAL/RODOV
656-4;0;Conduzir o veículo transportando passageiros em compartimento de carga;Condutor;7;Gravíss;MUNICIPAL/RODOV
657-2;0;Conduzir o veículo com dispositivo anti-radar;Proprietário;7;Gravíss;ESTADUAL/RODOV
658-0;0;Conduzir o veículo sem qualquer uma das placas de identificação;Proprietário;7;Gravíss;ESTADUAL/RODOV
659-9;1;Conduzir o veículo que não esteja registrado;Proprietário;7;Gravíss;ESTADUAL/RODOV
659-9;2;Conduzir o veículo registrado que não esteja devidamente licenciado;Proprietário;7;Gravíss;ESTADUAL/RODOV
660-2;0;Conduzir o veículo com qualquer uma das placas sem legibilidade e visibilidade;Proprietário;7;Gravíss;ESTADUAL/RODOV
661-0;1;Conduzir o veículo com a cor alterada;Proprietário;5;Grave;ESTADUAL/RODOV
661-0;2;Conduzir o veículo com característica alterada;Proprietário;5;Grave;ESTADUAL/RODOV
662-9;0;Conduzir veículo s/ ter sido submetido à inspeção seg veicular, qdo obrigatória;Proprietário;5;Grave;ESTADUAL/RODOV
663-7;1;Conduzir o veículo sem equipamento obrigatório;Proprietário;5;Grave;ESTADUAL/RODOV
663-7;2;Conduzir o veículo com equipamento obrigatório ineficiente/inoperante;Proprietário;5;Grave;ESTADUAL/RODOV
664-5;0;Conduzir o veículo com equip obrigatório em desacordo com o estab pelo Contran;Proprietário;5;Grave;ESTADUAL/RODOV
665-3;1;Conduzir o veículo com descarga livre;Proprietário;5;Grave;ESTADUAL/RODOV 
665-3;2;Conduzir o veículo com silenciador de motor defeituoso/deficiente/inoperante;Proprietário;5;Grave;ESTADUAL/RODOV
666-1;0;Conduzir o veículo com equipamento ou acessório proibido;Proprietário;5;Grave;ESTADUAL/RODOV
667-0;0;Conduzir o veículo c/ equip do sistema de iluminação e de sinalização alterados;Proprietário;5;Grave;ESTADUAL/RODOV
668-8;0;Conduzir veíc c/ registrador instan inalt de velocidade/tempo viciado/defeituoso;Proprietário;5;Grave;ESTADUAL/RODOV
669-6;1;Conduzir c/ inscr/adesivo/legenda/símbolo afixado pára-brisa e extensão traseira;Proprietário;5;Grave;ESTADUAL/RODOV
669-6;2;Conduzir c/ inscr/adesivo/legenda/símbolo pintado pára-brisa e extensão traseira;Proprietário;5;Grave;ESTADUAL/RODOV
670-0;1;Conduzir o veículo com vidros totalmente cobertos por película, painéis/pintura;Proprietário;5;Grave;ESTADUAL/RODOV
670-0;2;Conduzir o veículo c/ vidros parcialmente cobertos por película, painéis/pintura;Proprietário;5;Grave;ESTADUAL/RODOV
671-8;0;Conduzir o veículo com cortinas ou persianas fechadas;Proprietário;5;Grave;ESTADUAL/RODOV
672-6;1;Conduzir o veículo em mau estado de conservação;Proprietário;5;Grave;ESTADUAL/RODOV
672-6;2;Conduzir o veículo reprovado na avaliação de inspeção de segurança;Proprietário;5;Grave;ESTADUAL/RODOV
672-6;3;Conduzir o veículo reprovado na avaliação de emissão de poluentes e ruído;Proprietário;5;Grave;ESTADUAL/RODOV
673-4;0;Conduzir o veículo sem acionar o limpador de pára-brisa sob chuva;Condutor;5;Grave;ESTADUAL/RODOV
674-2;0;Conduzir o veículo sem portar a autorização para condução de escolares;Proprietário;5;Grave;ESTADUAL/RODOV
675-0;0;Conduzir o veíc de carga c/ falta inscrição da tara e demais previstas no CTB;Proprietário;4;Média;ESTADUAL/RODOV
676-9;1;Conduzir o veículo com defeito no sistema de iluminação;Proprietário;4;Média;ESTADUAL/RODOV
676-9;2;Conduzir o veículo com defeito no sistema de sinalização;Proprietário;4;Média;ESTADUAL/RODOV
676-9;3;Conduzir o veículo com lâmpadas queimadas;Proprietário;4;Média;ESTADUAL/RODOV
677-7;0;Transitar com o veículo danificando a via, suas instalações e equipamentos;Condutor;7;Gravíss;MUNICIPAL/RODOV
678-5;1;Transitar com veículo derramando a carga que esteja transportando;Condutor;7;Gravíss;MUNICIPAL/RODOV
678-5;2;Transitar com veículo lançando a carga que esteja transportando;Condutor;7;Gravíss;MUNICIPAL/RODOV
678-5;3;Transitar com veículo arrastando a carga que esteja transportando;Condutor;7;Gravíss;MUNICIPAL/RODOV
679-3;0;Transitar com veíc derramando/lançando combustível/lubrif que esteja utilizando;Condutor;7;Gravíss;MUNICIPAL/RODOV
680-7;0;Transitar c/ veíc derramando/lançando/arrastando qq objeto com risco de acidente;Condutor;7;Gravíss;MUNICIPAL/RODOV
681-5;0;Transitar com veículo produzindo fumaça, gases ou partículas em desac c/ Contran;Proprietário;5;Grave;MUNICIPAL/RODOV
682-3;1;Transitar c/ veíc e/ou carga c/ dimensões superiores limite legal s/ autorização;Proprietário;5;Grave;MUNICIPAL/RODOV
682-3;2;Transitar c/ veíc e/ou carga c/ dimensões superiores est p/sinalização s/autoriz;Condutor;5;Grave;MUNICIPAL/RODOV
683-1;0;Transitar com o veículo com excesso de peso;Emb/Transp;4;Média;MUNICIPAL/RODOV
684-0;1;Transitar em desacordo c/ autorização expedida p/veículo c/ dimensões excedentes;Proprietário;5;Grave;MUNICIPAL/RODOV
684-0;2;Transitar com autorização vencida, expedida p/ veículo c/ dimensões excedentes;Proprietário;5;Grave;MUNICIPAL/RODOV
685-8;0;Transitar com o veículo com lotação excedente;Condutor;4;Média;EST/MUNIC/RODOV
686-6;1;Transitar efetuando transporte remunerado de pessoas qdo ñ licenciado p/esse fim;Proprietário;4;Média;MUNICIPAL/RODOV
686-6;2;Transitar efetuando transporte remunerado de bens qdo não licenciado p/ esse fim;Proprietário;4;Média;MUNICIPAL/RODOV
687-4;1;Transitar com o veículo desligado em declive;Condutor;4;Média;MUNICIPAL/RODOV
687-4;2;Transitar com o veículo desengrenado em declive;Condutor;4;Média;MUNICIPAL/RODOV
688-2;0;Transitar com o veículo excedendo a capacidade máxima de tração - média;Proprietário;4;Média;MUNICIPAL/RODOV
689-0;0;Transitar com o veículo excedendo a capacidade máxima de tração - grave;Proprietário;5;Grave;MUNICIPAL/RODOV
690-4;0;Transitar com o veículo excedendo a capacidade máxima de tração - gravíssima;Proprietário;7;Gravíss;MUNICIPAL/RODOV
691-2;0;Conduzir veículo sem os documentos de porte obrigatório referidos no CTB;Condutor;3;Leve;ESTADUAL/RODOV
692-0;0;Deixar de efetuar registro de veículo no prazo de trinta dias;Proprietário;5;Grave;ESTADUAL
693-9;1;Falsificar documento de habilitação;Condutor;7;Gravíss;ESTADUAL/RODOV
693-9;2;Adulterar documento de habilitação;Condutor;7;Gravíss;ESTADUAL/RODOV
693-9;3;Falsificar documento de identificação do veículo;Proprietário;7;Gravíss;ESTADUAL/RODOV
693-9;4;Adulterar documento de identificação do veículo;Proprietário;7;Gravíss;ESTADUAL/RODOV
694-7;1;Conduzir pessoas nas partes externas do veículo;Condutor;5;Grave;MUNICIPAL/RODOV
694-7;2;Conduzir animais nas partes externas do veículo;Condutor;5;Grave;MUNICIPAL/RODOV
694-7;3;Conduzir carga nas partes externas do veículo;Condutor;5;Grave;MUNICIPAL/RODOV
695-5;0;Rebocar outro veículo com cabo flexível ou corda;Condutor;4;Média;MUNICIPAL/RODOV
696-3;1;Transitar c/ veíc em desacordo c/ especificações necessárias a sua identificação;Proprietário;5;Grave;ESTADUAL/RODOV
696-3;2;Transitar com veículo com falta de inscrição necessária a sua identificação;Proprietário;5;Grave;ESTADUAL/RODOV
696-3;3;Transitar com veículo com falta de simbologia necessária a sua identificação;Proprietário;5;Grave;ESTADUAL/RODOV
697-1;0;Recusar-se a entregar CNH/CRV/CRLV/ outros documentos;Condutor;7;Gravíss;ESTADUAL/RODOV
698-0;0;Retirar do local veículo legalmente retido para regularização, sem permissão;Condutor;7;Gravíss;EST/MUNIC/RODOV
699-8;0;Deixar responsável de promover baixa registro de veíc irrecuperável/desmontado;Proprietário;5;Grave;ESTADUAL
700-5;1;Deixar de atualizar o cadastro de registro do veículo;Proprietário;3;Leve;ESTADUAL
700-5;2;Deixar de atualizar o cadastro de habilitação do condutor;Condutor;3;Leve;ESTADUAL
701-3;1;Fazer falsa declaração de domicílio para fins de registro/licenciamento;Proprietário;7;Gravíss;ESTADUAL
701-3;2;Fazer falsa declaração de domicílio para fins de habilitação;Condutor;7;Gravíss;ESTADUAL
702-1;0;Deixar seguradora de comunicar ocorrência perda total veíc e devolver placas/doc;P Jurídica;5;Grave;ESTADUAL
703-0;1;Conduzir motocicleta, motoneta e ciclomotor sem capacete de segurança;Condutor;7;Gravíss;EST/MUNIC/RODOV
703-0;2;Conduzir motocicleta/motoneta/ciclomotor c/ capacete s/ viseira/óculos proteção;Condutor;7;Gravíss;EST/MUNIC/RODOV
703-0;3;Conduzir motocicleta, motoneta e ciclomotor sem vestuário aprovado pelo Contran;Condutor;7;Gravíss;EST/MUNIC/RODOV
704-8;1;Conduzir motocicleta, motoneta e ciclomotor transportando passageiro s/ capacete;Condutor;7;Gravíss;MUNICIPAL/RODOV
704-8;2;Conduzir motocicleta/ motoneta/ciclomotor transp.passag s/viseira/óculos proteção;Condutor;7;Gravíss;MUNICIPAL/RODOV
704-8;3;Conduzir motocicleta/motoneta/ciclomotor transportando pas. fora do assento;Condutor;7;Gravíss;MUNICIPAL/RODOV
705-6;1;Conduzir motoc/moton/ciclomotor fazendo malabarismo/equilibrandose em uma roda;Condutor;7;Gravíss;MUNICIPAL/RODOV
705-6;2;Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda;Condutor;4;Média;MUNICIPAL/RODOV
706-4;0;Conduzir motocicleta, motoneta e ciclomotor com os faróis apagados;Condutor;7;Gravíss;MUNICIPAL/RODOV
707-2;1;Conduzir motocicleta/motoneta/ciclomotor transportando criança menor de 7 anos;Condutor;7;Gravíss;MUNICIPAL/RODOV
707-2;2;Conduzir motoc/moton/ciclom transp criança s/ condição cuidar própria segurança;Condutor;7;Gravíss;MUNICIPAL/RODOV
708-0;0;Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo;Condutor;4;Média;MUNICIPAL/RODOV
709-9;1;Conduzir motocicleta/motoneta/ciclomotor sem segurar o guidom com ambas as mãos;Condutor;4;Média;MUNICIPAL/RODOV
709-9;2;Conduzir ciclo sem segurar o guidom com ambas as mãos;Condutor;4;Média;MUNICIPAL/RODOV
710-2;1;Conduzir motocicleta, motoneta e ciclomotor transportando carga incompatível;Condutor;4;Média;MUNICIPAL/RODOV
710-2;2;Conduzir ciclo transportando carga incompatível;Condutor;4;Média;MUNICIPAL/RODOV
711-0;0;Conduzir ciclo transportando passageiro fora da garupa/assento a ele destinado;Condutor;4;Média;MUNICIPAL/RODOV
712-9;1;Conduzir ciclo em via de trânsito rápido/rodovia sem acostamento/faixa própria;Condutor;4;Média;MUNICIPAL/RODOV
712-9;2;Conduzir ciclomotor via de trânsito rápido/rodovia s/ acostamento/faixa própria;Condutor;4;Média MUNICIPAL/RODOV
713-7;0;Conduzir ciclo transportando criança s/ condição de cuidar própria segurança;Condutor;4;Média;MUNICIPAL/RODOV
714-5;0;Utilizar a via para depósito de mercadorias, materiais ou equipamentos;PF ou JUR;5;Grave;MUNICIPAL/RODOV
715-3;1;Deixar de sinalizar obstáculo à circulação/segurança calçada/pistas/ agravamento;PF ou JUR;7;Gravíss;MUNICIPAL/RODOV
715-3;2;Obstaculizar a via indevidamente-s/agravamento;PF ou JUR;7;Gravíss;MUNICIPAL/RODOV
716-0;1;Deixar de sinalizar obstáculo circulação/segurança calçada/pista agravamento 2X;PF ou JUR;7;Gravíss 2X;MUNICIPAL/RODOV
716-0;2;Obstaculizar a via indevidamente-agravamento 2X;PF ou JUR;7;Gravíss 2X;MUNICIPAL/RODOV
717-0;1;Deixar de sinalizar obstáculo circulação/segurança calçada/pistaagravamento 3X;PF ou JUR;7;Gravíss 3X;MUNICIPAL/RODOV
717-0;2;Obstaculizar a via indevidamente-agravamento 3X;PF ou JUR;7;Gravíss 3X;MUNICIPAL/RODOV
718-8;1;Deixar de sinalizar obstáculo circulação/segurança calçada/pista agravamento 4X;PF ou JUR;7;Gravíss 4X;MUNICIPAL/RODOV
718-8;2;Obstaculizar a via indevidamente-agravamento 4X;PF ou JUR;7;Gravíss 4X;MUNICIPAL/RODOV
719-6;1;Deixar de sinalizar obstáculo circulação/segurança calçada/pista agravamento 5X;PF ou JUR;7;Gravíss 5X;MUNICIPAL/RODOV
719-6;2;Obstaculizar a via indevidamente-agravamento 5X;PF ou JUR;7;Gravíss 5X;MUNICIPAL/RODOV
720-0;1;Deixar de conduzir pelo bordo pista em fila única veíc tração/propulsão humana;Condutor;4;Média;MUNICIPAL/RODOV
720-0;2;Deixar de conduzir pelo bordo da pista em fila única veículo de tração animal;Condutor;4;Média;MUNICIPAL/RODOV
721-8;0;Transportar em veíc destinado transp passageiros carga excedente desac art.109;Proprietário;5;Grave;ESTADUAL/RODOV
722-6;1;Deixar de manter acesas à noite as luzes posição qdo o veículo estiver parado;Condutor;4;Média;MUNICIPAL/RODOV
722-6;2;Deixar de manter acesas à noite as luzes de posição veic fazendo carga/descarga;Condutor;4;Média;MUNICIPAL/RODOV
723-4;0;Em movimento, deixar de manter acesa a luz baixa durante à noite 250;Condutor;4;Média;MUNICIPAL/RODOV
724-2;0;Em movimento de dia, deixar de manter acesa luz baixa túnel com iluminação públ;Condutor;4;Média;MUNICIPAL/RODOV
725-0;0;Em mov, deixar de manter acesa luz baixa veíc transp coletivo faixa/pista excl;Condutor;4;Média;MUNICIPAL/RODOV
726-9;0;Em movimento, deixar de manter acesa luz baixa do ciclomotor;Condutor;4;Média;MUNICIPAL/RODOV
727-7;0;Em mov deixar de manter acesas luzes de posição sob chuva forte/neblina/cerração;Condutor;4;Média;MUNICIPAL/RODOV
728-5;0;Em movimento, deixar de manter a placa traseira iluminada à noite;Condutor;4;Média;ESTADUAL/RODOV
729-3;0;Utilizar o pisca-alerta, exceto em imobilizações ou situações de emergência;Condutor;4;Média;MUNICIPAL/RODOV
730-7;0;Utilizar luz alta e baixa intermitente, exceto quando permitido pelo CTB;Condutor;4;Média;MUNICIPAL/RODOV
731-5;0;Dirigir o veículo com o braço do lado de fora;Condutor;4;Média;MUNICIPAL/RODOV
732-3;1;Dirigir o veículo transport pessoas à sua esquerda ou entre os braços e pernas;Condutor;4;Média;ESTADUAL/RODOV
732-3;2;Dirigir o veículo transport animais à sua esquerda ou entre os braços e pernas;Condutor;4;Média;ESTADUAL/RODOV
732-3;3;Dirigir o veículo transport volume à sua esquerda ou entre os braços e pernas;Condutor;4;Média;ESTADUAL/RODOV
733-1;0;Dirigir o veículo com incapacidade física ou mental temporária;Condutor;4;Média;ESTADUAL/RODOV
734-0;0;Dirigir o veíc usando calçado que ñ se firme nos pés/comprometa utiliz pedais;Condutor;4;Média;ESTADUAL/RODOV 
735-8;0;Dirigir o veículo com apenas uma das mãos, exceto quando permitido pelo CTB;Condutor;4;Média;ESTADUAL/RODOV
736-6;1;Dirigir o veículo utilizando-se de fones nos ouvidos conec a aparelhagem sonora;Condutor;4;Média;EST/MUNIC/RODOV
736-6;2;Dirigir veículo utilizando-se de telefone celular;Condutor;4;Média;EST/MUNIC/RODOV
737-4;0;Bloquear a via com veículo;Condutor;7;Gravíss;MUNICIPAL/RODOV
